eng    John Doe, Google, Bachelor's in Computer Science, New York, USA
eng    Linda Turner, Twitter, PhD in Software Engineering, Palo Alto, USA
eng    Jason Brown, Adobe, Bachelor's in Design, New York, USA
eng    Jessica Green, Uber, Master's in Marketing, Austin, USA
eng    Daniel Scott, Tesla, MBA, San Francisco, USA
eng    Mark Thomas, Dropbox, Bachelor's in Information Technology, Boston, USA
eng    Alice Johnson, SpaceX, Master's in Aerospace Engineering, Palo Alto, USA
eng    Rachel Allen, Airbnb, Bachelor's in Marketing, San Francisco, USA
eng    Thomas Walker, IBM, PhD in Software Engineering, Chicago, USA
eng    Olivia Harris, Zoom, Master's in Data Science, Los Angeles, USA
eng    Karen Adams, Facebook, MBA, San Jose, USA
eng    Samuel Green, Google, PhD in Artificial Intelligence, San Francisco, USA
eng    Thomas Perez, Pinterest, Bachelor's in Design, Austin, USA
eng    Benjamin Harris, Microsoft, MBA, Cupertino, USA
eng    Robert Brown, Twitter, Bachelor's in Computer Engineering, Seattle, USA
eng    David Lee, Tesla, Master's in Electrical Engineering, Boston, USA
eng    Rachel Young, LinkedIn, Bachelor's in Business Administration, Chicago, USA
eng    Steven Walker, Uber, PhD in Data Science, New York, USA
eng    Mark Lewis, Dropbox, Bachelor's in Software Engineering, Palo Alto, USA
eng    Olivia Brown, Google, Master's in Software Engineering, San Jose, USA
eng    Jason Perez, IBM, PhD in Business Administration, Austin, USA
eng    Emily King, Tesla, Master's in Marketing, San Francisco, USA
eng    Alice Walker, SpaceX, MBA, Los Angeles, USA
eng    Daniel Harris, Adobe, Bachelor's in Economics, Chicago, USA
eng    Samuel Perez, Uber, Master's in Computer Science, Austin, USA
eng    Karen Brown, LinkedIn, PhD in Design, San Francisco, USA
